Variable,Cuartel,Dia,Bodega,Valor
X_bjt,cuartel_2,dia_47,Machali,57.760000000000005
X_bjt,cuartel_3,dia_39,Machali,57.760000000000005
X_bjt,cuartel_5,dia_31,Machali,64.98
X_bjt,cuartel_8,dia_68,Machali,64.98
X_bjt,cuartel_9,dia_23,Machali,64.98
X_bjt,cuartel_11,dia_46,Machali,64.98
X_bjt,cuartel_12,dia_76,Machali,64.98
X_bjt,cuartel_15,dia_37,Machali,57.760000000000005
X_bjt,cuartel_16,dia_34,Machali,64.98
X_bjt,cuartel_19,dia_22,Machali,64.98
X_bjt,cuartel_20,dia_26,Machali,64.98
X_bjt,cuartel_22,dia_40,Machali,35.349999999999774
X_bjt,cuartel_24,dia_54,Machali,64.98
X_bjt,cuartel_25,dia_29,Machali,64.98
X_bjt,cuartel_26,dia_71,Machali,64.98
X_bjt,cuartel_28,dia_49,Machali,64.98
X_bjt,cuartel_29,dia_40,Machali,57.760000000000005
X_bjt,cuartel_32,dia_67,Machali,64.98
X_bjt,cuartel_36,dia_74,Machali,64.98
X_bjt,cuartel_40,dia_27,Machali,22.500000000000064
X_bjt,cuartel_40,dia_31,Machali,42.47999999999994
X_bjt,cuartel_45,dia_72,Machali,22.5
X_bjt,cuartel_55,dia_9,Machali,27.48
X_bjt,cuartel_57,dia_31,Machali,0.5600000000001387
X_bjt,cuartel_7,dia_33,Chepica,57.760000000000005
X_bjt,cuartel_17,dia_33,Chepica,57.760000000000005
X_bjt,cuartel_18,dia_34,Chepica,57.760000000000005
X_bjt,cuartel_21,dia_64,Chepica,64.98
X_bjt,cuartel_33,dia_44,Chepica,57.760000000000005
X_bjt,cuartel_34,dia_62,Chepica,64.98
X_bjt,cuartel_35,dia_51,Chepica,64.98
X_bjt,cuartel_37,dia_54,Chepica,64.98
X_bjt,cuartel_43,dia_42,Chepica,64.78999999999998
X_bjt,cuartel_46,dia_48,Chepica,57.760000000000005
X_bjt,cuartel_49,dia_17,Chepica,64.98
X_bjt,cuartel_51,dia_19,Chepica,64.98
X_bjt,cuartel_54,dia_42,Chepica,64.98
X_bjt,cuartel_59,dia_48,Chepica,57.760000000000005
X_bjt,cuartel_1,dia_13,Nancagua,64.98
X_bjt,cuartel_6,dia_29,Nancagua,57.760000000000005
X_bjt,cuartel_10,dia_58,Nancagua,44.72000000000003
X_bjt,cuartel_13,dia_66,Nancagua,50.539999999999964
X_bjt,cuartel_13,dia_69,Nancagua,14.440000000000039
X_bjt,cuartel_14,dia_35,Nancagua,64.98
X_bjt,cuartel_23,dia_35,Nancagua,64.98
X_bjt,cuartel_27,dia_58,Nancagua,57.760000000000005
X_bjt,cuartel_30,dia_60,Nancagua,64.98
X_bjt,cuartel_31,dia_21,Nancagua,57.760000000000005
X_bjt,cuartel_38,dia_15,Nancagua,64.98000000000003
X_bjt,cuartel_41,dia_44,Nancagua,57.760000000000005
X_bjt,cuartel_44,dia_24,Nancagua,64.14000000000009
X_bjt,cuartel_45,dia_69,Nancagua,42.480000000000004
X_bjt,cuartel_48,dia_66,Nancagua,64.98
X_bjt,cuartel_50,dia_72,Nancagua,64.98
X_bjt,cuartel_52,dia_50,Nancagua,64.98
X_bjt,cuartel_53,dia_50,Nancagua,57.760000000000005
X_bjt,cuartel_55,dia_13,Nancagua,37.5
X_bjt,cuartel_56,dia_21,Nancagua,57.760000000000005
X_bjt,cuartel_57,dia_35,Nancagua,64.41999999999986
X_bjt,cuartel_58,dia_36,Nancagua,64.98
X_bjt,cuartel_60,dia_27,Nancagua,57.760000000000005
