Variable,Cuartel,Dia,Bodega,Valor
X_bjt,cuartel_1,dia_16,Machali,64.98
X_bjt,cuartel_2,dia_45,Machali,10.260000000000003
X_bjt,cuartel_2,dia_47,Machali,47.5
X_bjt,cuartel_3,dia_39,Machali,57.760000000000005
X_bjt,cuartel_4,dia_50,Machali,64.98
X_bjt,cuartel_5,dia_32,Machali,64.98
X_bjt,cuartel_6,dia_29,Machali,57.760000000000005
X_bjt,cuartel_7,dia_32,Machali,47.5
X_bjt,cuartel_7,dia_33,Machali,10.260000000000003
X_bjt,cuartel_8,dia_68,Machali,64.98
X_bjt,cuartel_9,dia_27,Machali,54.96000000000001
X_bjt,cuartel_12,dia_76,Machali,64.98
X_bjt,cuartel_13,dia_66,Machali,64.98
X_bjt,cuartel_15,dia_37,Machali,57.760000000000005
X_bjt,cuartel_17,dia_33,Machali,12.239999999999997
X_bjt,cuartel_19,dia_27,Machali,20.039999999999992
X_bjt,cuartel_21,dia_63,Machali,22.5
X_bjt,cuartel_22,dia_40,Machali,17.239999999999995
X_bjt,cuartel_23,dia_37,Machali,64.98
X_bjt,cuartel_24,dia_54,Machali,64.98
X_bjt,cuartel_25,dia_29,Machali,64.98
X_bjt,cuartel_26,dia_68,Machali,64.98
X_bjt,cuartel_27,dia_58,Machali,57.760000000000005
X_bjt,cuartel_28,dia_49,Machali,64.98
X_bjt,cuartel_29,dia_40,Machali,57.760000000000005
X_bjt,cuartel_30,dia_59,Machali,64.98
X_bjt,cuartel_31,dia_25,Machali,57.760000000000005
X_bjt,cuartel_32,dia_64,Machali,64.98
X_bjt,cuartel_33,dia_44,Machali,57.760000000000005
X_bjt,cuartel_35,dia_51,Machali,22.5
X_bjt,cuartel_40,dia_32,Machali,10.019999999999996
X_bjt,cuartel_41,dia_45,Machali,12.239999999999997
X_bjt,cuartel_51,dia_23,Machali,22.5
X_bjt,cuartel_10,dia_59,Chepica,10.260000000000003
X_bjt,cuartel_17,dia_34,Chepica,45.52000000000001
X_bjt,cuartel_18,dia_34,Chepica,57.760000000000005
X_bjt,cuartel_19,dia_26,Chepica,44.94000000000001
X_bjt,cuartel_20,dia_29,Chepica,64.98
X_bjt,cuartel_21,dia_63,Chepica,42.480000000000004
X_bjt,cuartel_22,dia_43,Chepica,40.52000000000001
X_bjt,cuartel_34,dia_59,Chepica,64.98
X_bjt,cuartel_35,dia_51,Chepica,42.480000000000004
X_bjt,cuartel_36,dia_73,Chepica,64.98
X_bjt,cuartel_37,dia_54,Chepica,64.98
X_bjt,cuartel_40,dia_29,Chepica,10.019999999999996
X_bjt,cuartel_9,dia_28,Nancagua,10.019999999999996
X_bjt,cuartel_10,dia_56,Nancagua,47.5
X_bjt,cuartel_11,dia_46,Nancagua,64.98
X_bjt,cuartel_14,dia_34,Nancagua,17.480000000000004
X_bjt,cuartel_14,dia_35,Nancagua,47.5
X_bjt,cuartel_16,dia_34,Nancagua,64.98
X_bjt,cuartel_38,dia_16,Nancagua,64.98
X_bjt,cuartel_39,dia_52,Nancagua,57.760000000000005
X_bjt,cuartel_40,dia_31,Nancagua,44.94000000000002
X_bjt,cuartel_41,dia_44,Nancagua,45.52000000000001
X_bjt,cuartel_42,dia_40,Nancagua,17.480000000000004
X_bjt,cuartel_42,dia_42,Nancagua,47.5
X_bjt,cuartel_43,dia_42,Nancagua,17.480000000000004
X_bjt,cuartel_43,dia_44,Nancagua,47.5
X_bjt,cuartel_44,dia_28,Nancagua,64.98
X_bjt,cuartel_45,dia_69,Nancagua,64.98
X_bjt,cuartel_46,dia_48,Nancagua,57.760000000000005
X_bjt,cuartel_47,dia_40,Nancagua,64.98
X_bjt,cuartel_48,dia_63,Nancagua,64.98
X_bjt,cuartel_49,dia_17,Nancagua,64.98
X_bjt,cuartel_50,dia_69,Nancagua,64.98
X_bjt,cuartel_51,dia_23,Nancagua,42.480000000000004
X_bjt,cuartel_52,dia_50,Nancagua,64.98
X_bjt,cuartel_53,dia_50,Nancagua,57.760000000000005
X_bjt,cuartel_54,dia_42,Nancagua,64.98
X_bjt,cuartel_55,dia_13,Nancagua,64.98
X_bjt,cuartel_56,dia_25,Nancagua,57.760000000000005
X_bjt,cuartel_57,dia_34,Nancagua,64.98
X_bjt,cuartel_58,dia_36,Nancagua,64.98
X_bjt,cuartel_59,dia_48,Nancagua,57.760000000000005
X_bjt,cuartel_60,dia_30,Nancagua,57.760000000000005
