Dia,Cuartel,Valor
Dia 13,cuartel_55,2533333.3333333335
Dia 16,cuartel_1,1900000.0
Dia 16,cuartel_38,1866000.0
Dia 17,cuartel_49,1884571.4285714284
Dia 23,cuartel_51,2220720.0
Dia 25,cuartel_31,1517428.5714285714
Dia 25,cuartel_56,1933714.285714286
Dia 26,cuartel_19,2088000.0
Dia 27,cuartel_9,2161680.0
Dia 28,cuartel_44,1037040.0
Dia 29,cuartel_6,1425000.000000039
Dia 29,cuartel_20,1507936.507936508
Dia 29,cuartel_25,1724399.9999999998
Dia 30,cuartel_7,345500.0
Dia 30,cuartel_60,1663428.5714285714
Dia 31,cuartel_20,389206.34920634935
Dia 31,cuartel_40,1567047.6190476187
Dia 32,cuartel_5,1659047.619047619
Dia 32,cuartel_7,2231928.571428571
Dia 32,cuartel_17,120071.42857143
Dia 32,cuartel_40,126666.66666666673
Dia 34,cuartel_5,99809.52380952399
Dia 34,cuartel_16,1864400.0
Dia 34,cuartel_17,1696428.5714285714
Dia 34,cuartel_18,1425000.0
Dia 34,cuartel_57,1685904.7619047617
Dia 35,cuartel_14,2082285.7142857143
Dia 35,cuartel_23,180571.42857142838
Dia 35,cuartel_57,118095.23809523831
Dia 36,cuartel_58,1964571.4285714286
Dia 37,cuartel_23,1785714.2857142854
Dia 39,cuartel_3,1950000.0
Dia 39,cuartel_22,31860.000000000015
Dia 39,cuartel_29,1916640.0
Dia 40,cuartel_15,1988571.4285714284
Dia 40,cuartel_33,20357.142857141396
Dia 41,cuartel_42,1242240.0
Dia 41,cuartel_47,983280.0
Dia 41,cuartel_54,1228320.0
Dia 43,cuartel_22,2137440.0
Dia 44,cuartel_2,212071.42857142835
Dia 44,cuartel_33,2089714.2857142866
Dia 44,cuartel_41,1796857.142857143
Dia 44,cuartel_43,2047679.9999999998
Dia 46,cuartel_11,1834400.0
Dia 47,cuartel_2,1508285.7142857143
Dia 47,cuartel_33,267142.8571428571
Dia 47,cuartel_53,1875714.285714286
Dia 48,cuartel_46,1687600.0
Dia 48,cuartel_59,1504800.0
Dia 49,cuartel_28,1266666.6666666667
Dia 50,cuartel_4,2135280.0
Dia 50,cuartel_52,2052000.0
Dia 51,cuartel_35,1266666.6666666667
Dia 51,cuartel_39,1425000.0
Dia 54,cuartel_24,1507936.507936508
Dia 54,cuartel_37,1507936.5079365086
Dia 56,cuartel_10,3024240.0
Dia 56,cuartel_34,94880.0
Dia 58,cuartel_27,1425000.0
Dia 59,cuartel_30,2022000.0
Dia 60,cuartel_34,1900000.0
Dia 63,cuartel_48,1923428.5714285714
Dia 64,cuartel_8,69333.3333333345
Dia 64,cuartel_21,1846399.9999999998
Dia 64,cuartel_32,2880480.0
Dia 66,cuartel_13,1845428.5714285716
Dia 68,cuartel_8,1266666.666666679
Dia 68,cuartel_26,2027039.9999999998
Dia 69,cuartel_45,2016000.0
Dia 69,cuartel_50,2168160.0
Dia 73,cuartel_12,99142.85714285712
Dia 73,cuartel_36,1686571.4285714284
Dia 76,cuartel_12,1779999.9999999998
